Model,Is Correct
moonshotai-kimi-k2,true
z-ai-glm-4.5,true
deepseek-deepseek-r1-0528:free,true
openai-gpt-4o-mini,true
x-ai-grok-4,true
google-gemini-2.5-flash,true
anthropic-claude-3.5-haiku,true
openrouter-horizon-beta,true
openai-gpt-4o,true
openai-gpt-4.1-mini,true
deepseek-deepseek-chat-v3-0324:free,true
google-gemini-2.0-flash-001,true
openai-gpt-oss-120b,false
google-gemini-pro-1.5,false
mistralai-mistral-small-3.2-24b-instruct,false
openai-gpt-oss-20b,false
openai-gpt-4.1-nano,false
meta-llama-llama-3.1-70b-instruct,false
z-ai-glm-4.5-air,false
tencent-hunyuan-a13b-instruct:free,false
qwen-qwen3-coder,false
qwen-qwen3-32b,false
microsoft-wizardlm-2-8x22b,false
google-gemini-flash-1.5,false
mistralai-mistral-small-24b-instruct-2501,false
qwen-qwen3-30b-a3b,false
meta-llama-llama-4-maverick,false
meta-llama-llama-3.1-8b-instruct,false
